Season,Team,Opponent,Team Score,Opp Score
2020,J St,Edward Waters (Fla.),53,0
2020,J St,Grambling St,33,28
2020,J St,Miss Valley St,43,7
2020,J St,Alabama St,28,35
2020,J St,Southern,14,34
2020,J St,Alabama A&M,43,52
2020,J St,Alcorn St,2,0
2021,J St,Florida A&M,7,6
2021,J St,Tenn St,38,16
2021,J St,Louisiana-Monroe,7,12
2021,J St,Delta St,24,17
2021,J St,Alabama A&M,61,15
2021,J St,Alabama St,28,7
2021,J St,Bethune-Cookman,42,12
2021,J St,Miss Valley St,28,19
2021,J St,Texas Southern,41,21
2021,J St,Southern,21,17
2021,J St,Alcorn St,24,10
2021,J St,Prairie View A&M,27,10
2021,J St,South Carolina St,10,31
2022,J St,Florida A&M,59,3
2022,J St,Tenn St,16,3
2022,J St,Grambling St,66,24
2022,J St,Miss Valley St,49,7
2022,J St,Alabama St,26,12
2022,J St,Bethune-Cookman,48,8
2022,J St,Campbell,22,14
2022,J St,Southern,35,0
2022,J St,Texas Southern,41,14
2022,J St,Alabama A&M,27,13
2022,J St,Alcorn St,24,13
2022,J St,Southern,43,24
2022,J St,North Carolina Central,,
