Season,Opponent,Conference,Opp Rank,Ranked Opp?,Top 15 Opp?,Top 10 Opp?,Top 5 Opp?,Stadium Capacity,Traveled Distance (mi),City,Home Team,Time of Season,H Player Score,F Player Score,H Opp Score,F Opp Score,Half Margin,Final Margin
2008,SC St,FCS,-,N,N,N,N,22000,603,Orangeburg,SC St,Reg Season,42,63,28,60,14,3
2008,New Hampshire,FCS,-,N,N,N,N,11015,1466,Durham,New Hampshire,Reg Season,59,73,0,3,59,70
2008,Akron,MAC,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,44,44,0,0,44,44
2008,Texas A&M,BIG 12,-,N,N,N,N,102733,451,College Station,Texas A&M,Reg Season,41,68,0,10,41,58
2008,Tulane,C-USA,-,N,N,N,N,76468,186,New Orleans,Tulane,Reg Season,49,91,0,0,49,91
2008,Louisville,BIG EAST,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,28,63,0,7,28,56
2008,Buffalo,MAC,-,N,N,N,N,25013,1117,Buffalo,Buffalo,Reg Season,28,35,0,7,28,28
2008,Louisiana Tech,WAC,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,7,31,0,0,7,31
2008,Alabama,SEC,19,Y,N,N,N,44215,0,Jackson,Jackson St,Reg Season,6,63,2,2,4,61
2008,Rice,C-USA,-,N,N,N,N,47000,441,Houston,Rice,Reg Season,38,62,0,0,38,62
2008,Florida,SEC,7,Y,Y,Y,N,90000,582,Gainesville,Florida,Reg Season,35,84,7,7,28,77
2008,Southern,INDEPENDENT,-,N,N,N,N,28500,174,New Orleans,SWAC Championship,Post Season,21,45,11,25,10,20
2008,San Diego St,MW,-,N,N,N,N,47000,437,Fort Worth,Armed Forces Bowl,Bowl Season,56,84,0,0,56,84
2009,Florida St,ACC,7,Y,Y,Y,N,79560,435,Tallahassee,Florida St,Reg Season,35,70,0,0,35,70
2009,Arizona St,PAC 12,7,Y,Y,Y,N,44215,0,Jackson,Jackson St,Reg Season,42,89,0,0,42,89
2009,Michigan,BIG TEN,-,N,N,N,N,107601,932,Ann Arbor,Michigan,Reg Season,42,77,0,0,42,77
2009,SC St,FCS,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,14,21,17,17,-3,4
2009,Penn St,BIG TEN,19,Y,N,N,N,106572,1076,University Park,Penn St,Reg Season,54,96,0,0,54,96
2009,Alabama St,FCS,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,17,31,14,14,3,17
2009,LSU,SEC,14,Y,Y,N,N,102321,174,Baton Rouge,LSU,Reg Season,41,41,0,3,41,38
2009,Alcorn St,FCS,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,14,17,0,14,14,3
2009,Alabama A&M,FCS,-,N,N,N,N,44215,0,Jackson,Jackson St,Reg Season,0,31,13,13,-13,18
2009,Oklahoma,BIG 12,5,Y,Y,Y,N,86112,591,Norman,Oklahoma,Reg Season,16,65,3,6,13,59
2009,Ohio St,BIG TEN,1,Y,Y,Y,Y,102082,790,Columbus,Ohio St,Reg Season,28,59,0,0,28,59
2009,Southern,INDEPENDENT,-,N,N,N,N,44215,0,Jackson,SWAC Championship,Post Season,28,49,3,3,25,46
2009,Virginia Tech,ACC,1,Y,Y,Y,Y,92542,1849,Pasedena,National Championship,Bowl Season,35,35,3,6,32,29
2012,Arkansas,SEC,20,Y,N,N,N,76212,269,Fayetteville,Arkansas,Reg Season,14,21,21,33,-7,-12
2012,Rice,C-USA,-,N,N,N,N,47233,0,Lawrence,Kansas,Reg Season,14,24,7,7,7,17
2012,TCU,BIG 12,25,Y,N,N,N,47233,0,Lawrence,Kansas,Reg Season,13,33,0,14,13,19
2012,Northern Illinois,MAC,-,N,N,N,N,24000,504,DeKalb,Northern Illinois,Reg Season,27,34,0,0,27,34
2012,Kansas St,BIG 12,17,Y,N,N,N,53811,84,Manhattan,Kansas St,Reg Season,7,21,7,19,0,2
2012,Oklahoma St,BIG 12,-,N,N,N,N,47233,0,Lawrence,Kansas,Reg Season,14,42,14,21,0,21
2012,Oklahoma,BIG 12,6,Y,Y,Y,N,86112,332,Norman,Oklahoma,Reg Season,28,49,24,39,4,10
2012,Texas,BIG 12,22,Y,N,N,N,47233,0,Lawrence,Kansas,Reg Season,38,45,7,20,31,25
2012,Baylor,BIG 12,-,N,N,N,N,45140,600,Waco,Baylor,Reg Season,21,49,3,10,18,39
2012,Texas Tech,BIG 12,-,N,N,N,N,60454,662,Lubbock,Texas Tech,Reg Season,17,38,14,35,3,3
2012,Iowa St,BIG 12,-,N,N,N,N,47233,0,Lawrence,Kansas,Reg Season,27,48,14,14,13,34
2012,West Virginia,BIG 12,24,Y,N,N,N,60000,900,Morgantown,West Virginia,Reg Season,21,49,7,28,14,21
2012,Rutgers,BIG EAST,21,Y,N,N,N,72200,1189,Glendale,Fiesta Bowl,Bowl Season,23,51,0,10,23,41
2013,Alabama,SEC,7,Y,Y,Y,N,47233,0,Lawrence,Kansas,Reg Season,28,48,21,38,7,10
2013,Utah,PAC 12,5,Y,Y,Y,N,47233,0,Lawrence,Kansas,Reg Season,24,34,14,31,10,3
2013,Michigan,BIG TEN,16,Y,N,N,N,107601,760,Ann Arbor,Michigan,Reg Season,28,42,30,37,-2,5
2013,West Virginia,BIG 12,-,N,N,N,N,47233,0,Lawrence,Kansas,Reg Season,17,38,17,24,0,14
2013,Texas Tech,BIG 12,-,N,N,N,N,60454,662,Lubbock,Texas Tech,Reg Season,14,28,3,3,11,25
2013,Oklahoma,BIG 12,2,Y,Y,Y,Y,86112,332,Norman,Oklahoma,Reg Season,10,52,21,49,-11,3
2013,Oklahoma St,BIG 12,-,N,N,N,N,55509,284,Stillwater,Oklahoma St,Reg Season,42,91,14,41,28,50
2013,TCU,BIG 12,2,Y,Y,Y,Y,47233,0,Lawrence,Kansas,Reg Season,28,56,17,38,11,18
2013,Texas,BIG 12,9,Y,Y,Y,N,105213,701,Austin,Texas,Reg Season,28,66,17,31,11,35
