Episode,Title,Length,Views,Ep_Set,Guest,Release Date
Bonus I,McDonalds,20,1753,0,N,Jan 13 2021
Bonus II,VITAL HONEY,19,5702,0,N,Jan 27 2021
Bonus III,CUT,17,913,0,N,Mar 3 2021
Bonus IV,Don't Fold,16,1249,0,N,May 5 2021
Bonus V,State Fair,11,1356,0,N,May 12 2021
Bonus VI,PPP JAIL,12,916,0,N,May 26 2021
Bonus VII,EYE OF FIRE,14,995,0,N,Jul 7 2021
Bonus VIII,WHAT'S YOUR DRUNK NAME?,33,4711,0,N,Aug 4 2023
Bonus IX,No Rubber,25,4561,0,N,Aug 18 2023
7,Fashion Nova,29,2809,1,Y,Nov 18 2020
8,Barber Shop Talk Pt.I,41,2720,1,N,Nov 25 2020
9,Barber Shop Talk Pt.II,26,2511,1,N,Dec 2 2020
10,Fed's Watching,26,1832,1,N,Dec 9 2020
11,LOADED,25,1069,2,N,Dec 16 2020
12,EVOL,15,1706,2,Y,Dec 23 2020
13,Pandemic Awards,27,1880,2,N,Dec 30 2020
14,Residuals,28,2350,2,Y,Jan 6 2021
15,HUSTLE,19,934,2,N,Jan 20 2021
16,Robinhood,24,870,2,N,Feb 3 2021
17,All Star,22,987,2,N,Feb 10 2021
18,Going Bananas,25,1749,2,N,Feb 17 2021
19,"Want Me To Be",24,1778,2,N,Feb 24 2021
20,ATL Crazy,23,2223,2,N,Mar 10 2021
21,Barber Shop Talk Pt.III,29,2276,3,N,Mar 17 2021
22,Breaking News,32,1707,3,N,Mar 24 2021
23,Nerf Guns,20,1666,3,N,Mar 31 2021
24,"Have Y'all Heard",24,2353,3,N,Apr 7 2021
25,Ignorant Folks,22,1839,3,N,Apr 14 2021
26,Personal Shopper,24,2300,3,N,Apr 21 2021
27,"Men",25,3239,3,N,Apr 28 2021
28,PORSHA,36,2080,3,N,May 19 2021
29,Barber Shop Talk Pt.IV,28,1519,3,N,Jun 2 2021
30,Anniversary,27,2286,3,N,Jun 9 2021
31,BABY,29,6520,4,Y,Jun 16 2021
32,Down In The South,28,1917,4,N,Jun 23 2021
33,Double Homicide,25,1563,4,N,Jun 30 2021
34,Detective,26,1535,4,N,Jul 21 2021
35,Dine and Dash,23,2144,4,N,Jul 28 2021
36,Turkey Leg Hut,15,2047,4,N,Aug 4 2021
37,GET THAT BAG,31,1717,4,N,Aug 11 2021
38,Fighting Demons,33,1878,4,N,Aug 18 2021
39,Burdened w/ Greatness Album Review,23,2339,4,N,Sep 1 2021
40,MUSIC & SEX,25,2062,4,N,Sep 8 2021
41,Lottery,23,1915,5,N,Sep 15 2021
42,Bills,18,1734,5,N,Sep 22 2021
